model_class	performance	accuracy	f1_score	sensitivity	specificity	precision	roc_auc	pr_auc	memory_size	epoch	trial_number	trial_params	model_id
LightAttentionFastKAN	0.83771678752332	0.82020348594409	0.819393218836896	0.82020348594409	0.990163167877118	0.82838968707276	0.953479742498592	0.753268671324781	120.191509246826	13	6	[[""""kernel_size"""", 5], [""""conv_dropout_rate"""", 0.13906884560255356], [""""layer_size_percentage"""", 0.5], [""""num_layers"""", 2], [""""grid_diff"""", 1.0], [""""num_grids"""", 6]]	LightAttentionFastKAN_434ee804-6b78-4398-b09a-71e0e927402d
LightAttention	0.840091923269167	0.809527850983187	0.807588808288043	0.809527850983187	0.993886707363219	0.827318508098785	0.952905844737368	0.792858244248934	91.2265739440918	13	3	[[""""kernel_size"""", 11], [""""conv_dropout_rate"""", 0.18493564427131048], [""""layer_size_percentage"""", 0.2], [""""num_layers"""", 1]]	LightAttention_f3a5ad66-2317-44aa-b7bc-d416756d11af
AttentionFastKAN	0.829041363432026	0.806040099019478	0.805220839068811	0.806040099019478	0.991416927293202	0.821330256574471	0.963465688346312	0.743738550462719	1469.37948989868	13	21	[[""""reduced_seq_len"""", 15], [""""layer_size_percentage"""", 0.22], [""""num_layers"""", 2], [""""grid_diff"""", 2.0], [""""num_grids"""", 4]]	AttentionFastKAN_88b71e76-d10b-444e-bf3b-f3237f58c800
LstmReductionHybrid	0.826390465833442	0.803259888977355	0.803280320779386	0.803259888977355	0.991494981218126	0.816257946683936	0.943822881081268	0.748321875861891	1615.59720993042	18	2	[[""""reduced_seq_len"""", 50], [""""lstm_hidden_size"""", 192], [""""lstm_num_layers"""", 1], [""""dropout_rate"""", 0.17336180394137352], [""""layer_size_percentage"""", 0.14], [""""num_layers"""", 2]]	LstmReductionHybrid_5f2730ef-a618-4a98-aed2-49f097ed4079
AttentionMLP	0.823254372060829	0.797861868523218	0.796551098847752	0.797861868523218	0.991912300214842	0.814079936682924	0.942775445401561	0.748608418383408	1322.01250457764	14	15	[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.6000000000000001], [""""num_layers"""", 2]]	AttentionMLP_50e0f1bf-0efc-4999-87cd-4a41ff029867
UNetMLP	0.811310761355514	0.78549629890834	0.784915677496048	0.78549629890834	0.989432988257259	0.797891300145776	0.942628929885443	0.729423046490328	601.108997344971	10	16	[[""""reduced_seq_len"""", 20], [""""reduced_channels"""", 512], [""""layer_size_percentage"""", 0.8], [""""num_layers"""", 2]]	UNetMLP_6b51bbbb-7e63-4310-97a1-e13462cba867
AttentionLstmHybrid	0.816099950968783	0.783335842953079	0.78291086460364	0.783335842953079	0.992035660705989	0.806885924168775	0.952637480556018	0.74792548484898	75.5768127441406	10	13	[[""""attention_num_heads"""", 8], [""""lstm_hidden_size"""", 448], [""""lstm_num_layers"""", 3], [""""layer_size_percentage"""", 0.12000000000000001], [""""num_layers"""", 1]]	AttentionLstmHybrid_3cf97881-e134-4eeb-8c8e-1dbcfdd7b880
UNetFastKAN	0.810886264830617	0.780415478250558	0.778169765990503	0.780415478250558	0.993547971195264	0.809981296873936	0.93251958329144	0.73581757499677	548.398330688477	18	1	[[""""reduced_seq_len"""", 10], [""""reduced_channels"""", 960], [""""layer_size_percentage"""", 0.16], [""""num_layers"""", 3], [""""grid_diff"""", 1.0], [""""num_grids"""", 8]]	UNetFastKAN_f3c0f112-5029-49fa-9e91-3f64137ab8b5
PositionalMLP	0.806330992017912	0.775118023172465	0.773482207631868	0.775118023172464	0.991552400335134	0.799092461503807	0.944277334149423	0.728166945433752	398.286170959473	16	4	[[""""reduced_seq_len"""", 20], [""""reduced_channels"""", 640], [""""layer_size_percentage"""", 0.5], [""""num_layers"""", 2]]	PositionalMLP_bb381143-75c8-4137-ad15-bd694b9f5089
PositionalFastKAN	0.804417426232654	0.76616686177558	0.765081226310188	0.76616686177558	0.992815175885748	0.802261817763734	0.941444143121399	0.739004770813645	168.146942138672	7	12	[[""""reduced_seq_len"""", 10], [""""reduced_channels"""", 768], [""""layer_size_percentage"""", 0.1], [""""num_layers"""", 2], [""""grid_diff"""", 2.0], [""""num_grids"""", 5]]	PositionalFastKAN_f08870ff-a8e3-4fc6-9abb-6f9ac468183d
