model_id	memory_size	epoch	trial_params	accuracy	f1_score	sensitivity	specificity	precision	roc_auc	pr_auc
MaxPoolMLP_f9950ba2-a76c-42f3-9e53-32f102fcc7fe	1920.51566314697	16	[[""""reduced_seq_len"""", 40], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 1]]	0.715281583804699	0.704273782676137	0.715281583804699	0.991396603235394	0.758496013136391	0.963251940099489	0.699163471519299
MaxPoolMLP_c7db0cd2-c6ae-4e65-976c-15d7e78d2f15	523.296123504639	18	[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 2]]	0.703348935540628	0.695028456995946	0.703348935540628	0.988915108500186	0.729410887202312	0.93732594443	0.648377528808079
MaxPoolMLP_8992b41e-d61c-4a4b-870c-6781a1d769d6	2160.77347564697	18	[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.6000000000000001], [""""num_layers"""", 1]]	0.701749369417513	0.6918327632994	0.701749369417513	0.991449146740926	0.759574984264213	0.946681169500609	0.692578650297768
MaxPoolMLP_dfe46d3a-0d51-46a1-83e6-2b09c8d73dc8	800.429725646973	19	[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.5], [""""num_layers"""", 1]]	0.690869638144309	0.678646960357756	0.690869638144309	0.991426280744475	0.758344005378296	0.934187916077128	0.66521668989453
MaxPoolMLP_a98d2565-0359-4dfb-a234-bdf0194209af	1713.25252914429	18	[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.4], [""""num_layers"""", 4]]	0.688431253721105	0.6693742813752	0.688431253721105	0.988830978560842	0.713001059360378	0.94589053529724	0.606115357681257
MaxPoolMLP_2b7c1798-bcf6-4d24-8b49-440ba6205df3	1185.99322891235	18	[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]	0.679555425479903	0.67175268752457	0.679555425479903	0.988947755880021	0.721050133109534	0.94131793919965	0.641192305599744
MaxPoolMLP_65002fcc-5515-49a4-905c-dbf207e3f676	189.735897064209	18	[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.4], [""""num_layers"""", 3]]	0.677906865262181	0.661129870193952	0.677906865262181	0.989798721472972	0.727609844443136	0.956558710588856	0.634677592236793
MaxPoolMLP_c5afec87-9af6-4812-9741-ba259d43be22	761.435333251953	14	[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.4], [""""num_layers"""", 4]]	0.673604576291064	0.640923240010278	0.673604576291064	0.987301991004092	0.701897413683486	0.944727942646919	0.598811063899919
MaxPoolMLP_6bc1603d-2114-4262-9c5c-35174b16f8b3	739.917404174805	16	[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.8], [""""num_layers"""", 4]]	0.665843190854763	0.650590035924468	0.665843190854763	0.986957153270834	0.712607853628503	0.942063354590884	0.54732857997379
MaxPoolMLP_7524e740-caec-4dc5-9f39-2f2ce0ff2000	525.087512969971	18	[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.8], [""""num_layers"""", 2]]	0.66120456953603	0.64756870636615	0.661204569536029	0.987272185551672	0.712571351565994	0.935713457545003	0.590881661592972
MaxPoolMLP_b20d6288-4397-4b06-9e3c-a23e74c4ecfd	1050.16605377197	17	[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.5], [""""num_layers"""", 3]]	0.627606917675635	0.609228611874436	0.627606917675635	0.989900820395839	0.744470640258326	0.932115505061478	0.560676607188609
MaxPoolMLP_43b4ac01-aab0-484c-bdf1-2ab402220741	262.583045959473	18	[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.5], [""""num_layers"""", 3]]	0.607422511920182	0.593703258502267	0.607422511920182	0.981808671338011	0.689583113045136	0.91039378325483	0.450422357092122
MaxPoolMLP_9ed5a534-8f37-4b2b-b30e-0be47b60b258	527.489723205566	17	[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]	0.580122206909411	0.520327843541415	0.580122206909411	0.989676267488275	0.575901909059021	0.926208535260973	0.461346269302574
