class_name	true_positives	false_positives	false_negatives	true_negatives	sensitivity	specificity	precision	accuracy	f1_score	roc_auc	pr_auc	class_weight	model_id	model_class	memory_size	epoch	study_name	trial_number	trial_params	performance
Cell_membrane	127	42	34	1475	0.788819875776398	0.972313777191826	0.751479289940828	0.954707985697259	0.76969696969697	0.956329303094945	0.839508217051152	1.04223602484472	MaxPoolMLP_9ed5a534-8f37-4b2b-b30e-0be47b60b258	MaxPoolMLP	527.489723205566	17	MaxPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.619685089543299
Cytoplasm	224	146	75	1233	0.749163879598662	0.894126178390138	0.605405405405405	0.868295589988081	0.66965620328849	0.915197140092307	0.673200349717658	0.561204013377926	MaxPoolMLP_9ed5a534-8f37-4b2b-b30e-0be47b60b258	MaxPoolMLP	527.489723205566	17	MaxPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.619685089543299
Endoplasmic_reticulum	61	59	34	1524	0.642105263157895	0.962728995578016	0.508333333333333	0.944576877234803	0.567441860465116	0.936948498852944	0.611347482529344	1.76631578947368	MaxPoolMLP_9ed5a534-8f37-4b2b-b30e-0be47b60b258	MaxPoolMLP	527.489723205566	17	MaxPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.619685089543299
Extracellular	226	10	17	1425	0.930041152263374	0.993031358885017	0.957627118644068	0.983909415971394	0.943632567849687	0.994866721153984	0.982766032349886	0.690534979423868	MaxPoolMLP_9ed5a534-8f37-4b2b-b30e-0be47b60b258	MaxPoolMLP	527.489723205566	17	MaxPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.619685089543299
Golgi_apparatus	5	5	43	1625	0.104166666666667	0.996932515337423	0.5	0.971394517282479	0.172413793103448	0.925626278118609	0.308402952156612	3.49583333333333	MaxPoolMLP_9ed5a534-8f37-4b2b-b30e-0be47b60b258	MaxPoolMLP	527.489723205566	17	MaxPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.619685089543299
Lysosome_Vacuole	4	4	38	1632	0.0952380952380952	0.997555012224939	0.5	0.974970202622169	0.16	0.911398300151356	0.234002440694969	3.99523809523809	MaxPoolMLP_9ed5a534-8f37-4b2b-b30e-0be47b60b258	MaxPoolMLP	527.489723205566	17	MaxPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.619685089543299
Mitochondrion	174	35	26	1443	0.87	0.976319350473613	0.832535885167464	0.963647199046484	0.850855745721271	0.981610284167794	0.918528907276281	0.839	MaxPoolMLP_9ed5a534-8f37-4b2b-b30e-0be47b60b258	MaxPoolMLP	527.489723205566	17	MaxPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.619685089543299
Nucleus	411	71	65	1131	0.863445378151261	0.940931780366057	0.852697095435685	0.918951132300358	0.8580375782881	0.968352815335785	0.910311980553084	0.352521008403361	MaxPoolMLP_9ed5a534-8f37-4b2b-b30e-0be47b60b258	MaxPoolMLP	527.489723205566	17	MaxPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.619685089543299
Peroxisome	0	0	23	1655	0	1	0	0.986293206197855	0	0.902482595560226	0.319428559158596	7.29565217391304	MaxPoolMLP_9ed5a534-8f37-4b2b-b30e-0be47b60b258	MaxPoolMLP	527.489723205566	17	MaxPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.619685089543299
Plastid	69	5	22	1582	0.758241758241758	0.996849401386263	0.932432432432432	0.983909415971394	0.836363636363636	0.970335902282972	0.894359726168277	1.84395604395604	MaxPoolMLP_9ed5a534-8f37-4b2b-b30e-0be47b60b258	MaxPoolMLP	527.489723205566	17	MaxPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.619685089543299
Average	1301	377	377	-1	0.580122206909411	0.989676267488275	0.575901909059021	0.580122206909411	0.520327843541415	0.926208535260973	0.461346269302574	NA	MaxPoolMLP_9ed5a534-8f37-4b2b-b30e-0be47b60b258	MaxPoolMLP	527.489723205566	17	MaxPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.619685089543299
Cell_membrane	119	16	42	1501	0.739130434782609	0.989452867501648	0.881481481481482	0.965435041716329	0.804054054054054	0.969488652415482	0.878096877435814	1.04223602484472	AvgPoolFastKAN_c542df6e-240c-47f9-80a7-f2330e9ac0ac	AvgPoolFastKAN	1728.62344360352	7	AvgPoolFastKAN	26	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.06], [""""num_layers"""", 1], [""""grid_diff"""", 1.5], [""""num_grids"""", 8]]"	0.769343868430401
Cytoplasm	230	122	69	1257	0.769230769230769	0.911530094271211	0.653409090909091	0.886174016686532	0.706605222734255	0.92440840995244	0.734584664069557	0.561204013377926	AvgPoolFastKAN_c542df6e-240c-47f9-80a7-f2330e9ac0ac	AvgPoolFastKAN	1728.62344360352	7	AvgPoolFastKAN	26	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.06], [""""num_layers"""", 1], [""""grid_diff"""", 1.5], [""""num_grids"""", 8]]"	0.769343868430401
Endoplasmic_reticulum	63	21	32	1562	0.663157894736842	0.986734049273531	0.75	0.968414779499404	0.70391061452514	0.952628254147688	0.747120762618207	1.76631578947368	AvgPoolFastKAN_c542df6e-240c-47f9-80a7-f2330e9ac0ac	AvgPoolFastKAN	1728.62344360352	7	AvgPoolFastKAN	26	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.06], [""""num_layers"""", 1], [""""grid_diff"""", 1.5], [""""num_grids"""", 8]]"	0.769343868430401
Extracellular	238	23	5	1412	0.979423868312757	0.98397212543554	0.911877394636015	0.98331346841478	0.944444444444445	0.998345306204385	0.990101787376804	0.690534979423868	AvgPoolFastKAN_c542df6e-240c-47f9-80a7-f2330e9ac0ac	AvgPoolFastKAN	1728.62344360352	7	AvgPoolFastKAN	26	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.06], [""""num_layers"""", 1], [""""grid_diff"""", 1.5], [""""num_grids"""", 8]]"	0.769343868430401
