model_id	memory_size	epoch	trial_params	accuracy	f1_score	sensitivity	specificity	precision	roc_auc	pr_auc
LstmReductionHybrid_5f2730ef-a618-4a98-aed2-49f097ed4079	1615.59720993042	18	[[""""reduced_seq_len"""", 50], [""""lstm_hidden_size"""", 192], [""""lstm_num_layers"""", 1], [""""dropout_rate"""", 0.17336180394137352], [""""layer_size_percentage"""", 0.14], [""""num_layers"""", 2]]	0.803259888977355	0.803280320779386	0.803259888977355	0.991494981218126	0.816257946683936	0.943822881081268	0.748321875861891
LstmReductionHybrid_e0cafcc8-7bc9-489d-bc09-6091b4769c5b	450.595794677734	11	[[""""reduced_seq_len"""", 50], [""""lstm_hidden_size"""", 128], [""""lstm_num_layers"""", 3], [""""dropout_rate"""", 0.19985013233647586], [""""layer_size_percentage"""", 0.1], [""""num_layers"""", 2]]	0.800314550300465	0.800930776397345	0.800314550300465	0.988505547570492	0.819163119018416	0.946859760760253	0.755700501587416
LstmReductionHybrid_835c453a-10b4-4320-adee-2f440773b159	1462.75937271118	16	[[""""reduced_seq_len"""", 40], [""""lstm_hidden_size"""", 192], [""""lstm_num_layers"""", 1], [""""dropout_rate"""", 0.31111155721201283], [""""layer_size_percentage"""", 0.22], [""""num_layers"""", 2]]	0.791295178805918	0.79027900082992	0.791295178805917	0.991658528586273	0.808031667495132	0.950081508320749	0.761992323122984
LstmReductionHybrid_62b5aa52-dd60-4d4d-9a1b-40538d1cfbd1	1462.75937271118	10	[[""""reduced_seq_len"""", 40], [""""lstm_hidden_size"""", 192], [""""lstm_num_layers"""", 1], [""""dropout_rate"""", 0.3032064828333295], [""""layer_size_percentage"""", 0.22], [""""num_layers"""", 2]]	0.787725565143967	0.787565935008496	0.787725565143967	0.989177247982341	0.798324722626333	0.954199013616327	0.752089430319928
LstmReductionHybrid_b943a702-aedf-47ea-822b-0ac416149ae0	807.684093475342	9	[[""""reduced_seq_len"""", 30], [""""lstm_hidden_size"""", 224], [""""lstm_num_layers"""", 3], [""""dropout_rate"""", 0.15579754426081674], [""""layer_size_percentage"""", 0.14], [""""num_layers"""", 2]]	0.783116091825844	0.78267692795104	0.783116091825844	0.989325695633818	0.800541972613003	0.95516499328419	0.749729971151993
LstmReductionHybrid_95b5705a-c093-4e3d-b193-1c67e8d19281	458.908031463623	17	[[""""reduced_seq_len"""", 10], [""""lstm_hidden_size"""", 480], [""""lstm_num_layers"""", 2], [""""dropout_rate"""", 0.36500891374159283], [""""layer_size_percentage"""", 0.14], [""""num_layers"""", 2]]	0.779282351339922	0.776479576495559	0.779282351339922	0.991828883283663	0.803295341684205	0.937208344669781	0.739966515862568
LstmReductionHybrid_723c045c-e469-4939-8003-6d8f06c397ac	766.637115478516	13	[[""""reduced_seq_len"""", 60], [""""lstm_hidden_size"""", 128], [""""lstm_num_layers"""", 4], [""""dropout_rate"""", 0.14345315897221972], [""""layer_size_percentage"""", 0.12000000000000001], [""""num_layers"""", 1]]	0.77557191833729	0.771345999073397	0.775571918337289	0.990254888878706	0.787065287185199	0.951402623118824	0.708289930977631
LstmReductionHybrid_f053fc31-dda5-4e8e-b588-24fbf07285a5	87.4208717346191	16	[[""""reduced_seq_len"""", 20], [""""lstm_hidden_size"""", 160], [""""lstm_num_layers"""", 3], [""""dropout_rate"""", 0.27606099749584057], [""""layer_size_percentage"""", 0.06], [""""num_layers"""", 2]]	0.774620475867182	0.774486200834912	0.774620475867182	0.991488296969008	0.803714703537953	0.93536593469714	0.714497344682749
LstmReductionHybrid_a9f521d0-6945-44be-8c11-22d9ccaa0201	448.035217285156	12	[[""""reduced_seq_len"""", 50], [""""lstm_hidden_size"""", 128], [""""lstm_num_layers"""", 4], [""""dropout_rate"""", 0.2270653921965944], [""""layer_size_percentage"""", 0.1], [""""num_layers"""", 1]]	0.765278816412246	0.76299273317647	0.765278816412246	0.989458102379833	0.788006100700286	0.947623899983771	0.706641719590987
LstmReductionHybrid_55eb793c-3fc7-4add-9be8-4ba1a61fade6	2391.71110534668	16	[[""""reduced_seq_len"""", 40], [""""lstm_hidden_size"""", 192], [""""lstm_num_layers"""", 4], [""""dropout_rate"""", 0.4100531293444458], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]	0.741786287603808	0.740124324715302	0.741786287603808	0.990119653011745	0.769281611699895	0.938759683266458	0.660139438182609
