model_id	memory_size	epoch	trial_params	accuracy	f1_score	sensitivity	specificity	precision	roc_auc	pr_auc
UNetMLP_6b51bbbb-7e63-4310-97a1-e13462cba867	601.108997344971	10	[[""""reduced_seq_len"""", 20], [""""reduced_channels"""", 512], [""""layer_size_percentage"""", 0.8], [""""num_layers"""", 2]]	0.78549629890834	0.784915677496048	0.78549629890834	0.989432988257259	0.797891300145776	0.942628929885443	0.729423046490328
UNetMLP_a5420b18-f1d3-4e90-9389-8ec6119b463f	262.280311584473	15	[[""""reduced_seq_len"""", 10], [""""reduced_channels"""", 768], [""""layer_size_percentage"""", 0.8], [""""num_layers"""", 1]]	0.781478164722788	0.779287017314333	0.781478164722788	0.988811953007361	0.787566088814818	0.937960140729899	0.724280135661386
UNetMLP_1dfc3d2c-5c0a-4b38-b4cc-a931b05eaa60	1396.71068572998	19	[[""""reduced_seq_len"""", 30], [""""reduced_channels"""", 896], [""""layer_size_percentage"""", 0.4], [""""num_layers"""", 4]]	0.774286221779203	0.775274437167943	0.774286221779203	0.989335077225854	0.793085601857875	0.939127950730327	0.70861666682076
UNetMLP_fd409318-8487-4446-b712-1b64234d5f3c	802.538124084473	19	[[""""reduced_seq_len"""", 20], [""""reduced_channels"""", 768], [""""layer_size_percentage"""", 0.8], [""""num_layers"""", 1]]	0.773846849172757	0.772299709407454	0.773846849172756	0.991488218480648	0.794901326532135	0.939017824338774	0.749694505117126
UNetMLP_98c8e6af-4789-4f49-92f4-bef6aafad514	717.691688537598	17	[[""""reduced_seq_len"""", 20], [""""reduced_channels"""", 832], [""""layer_size_percentage"""", 0.6000000000000001], [""""num_layers"""", 1]]	0.773534678696399	0.771773200005731	0.773534678696398	0.991563959438204	0.793247146065485	0.938838893208821	0.750394731035324
UNetMLP_7f70140b-7176-45e3-9eb4-5d0e4a3ff278	469.805702209473	10	[[""""reduced_seq_len"""", 20], [""""reduced_channels"""", 640], [""""layer_size_percentage"""", 0.5], [""""num_layers"""", 2]]	0.772070125615881	0.771453577032697	0.772070125615881	0.99014515974805	0.79201535564276	0.939939565383469	0.710208689604811
UNetMLP_7dfde956-18b2-4031-9ec8-ef4f8ba92671	391.790565490723	12	[[""""reduced_seq_len"""", 20], [""""reduced_channels"""", 640], [""""layer_size_percentage"""", 0.5], [""""num_layers"""", 1]]	0.769679818399573	0.768757967880055	0.769679818399573	0.990842567429312	0.789868048505913	0.933047514802341	0.727741152017133
UNetMLP_2894b430-b012-4404-aa8c-9c17d2df4658	489.282020568848	9	[[""""reduced_seq_len"""", 20], [""""reduced_channels"""", 640], [""""layer_size_percentage"""", 0.5], [""""num_layers"""", 3]]	0.758675857584238	0.75848728196586	0.758675857584238	0.99037656383314	0.779594918218617	0.937124144036123	0.708959275657627
UNetMLP_45184db9-e2bf-4de1-855f-0f79e65c365a	725.679237365723	10	[[""""reduced_seq_len"""", 50], [""""reduced_channels"""", 384], [""""layer_size_percentage"""", 0.4], [""""num_layers"""", 2]]	0.754155050055949	0.754218016434266	0.754155050055949	0.987432255199766	0.770486604469688	0.938155042230585	0.644904833510751
UNetMLP_767d5db0-e2d5-4381-aee1-3f5eddf1efee	367.980937957764	18	[[""""reduced_seq_len"""", 40], [""""reduced_channels"""", 320], [""""layer_size_percentage"""", 0.4], [""""num_layers"""", 3]]	0.743363676803668	0.737285017671703	0.743363676803668	0.989415976097406	0.76800825698071	0.934848978062341	0.680236814322263
UNetMLP_268dd3dd-be04-4d0a-aac4-bdbebf335bbb	1476.41596984863	18	[[""""reduced_seq_len"""", 40], [""""reduced_channels"""", 832], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 6]]	0.692786963428346	0.683452397252534	0.692786963428346	0.987932428434043	0.707192803572701	0.923783544616371	0.600114692856081
